Comment,Platform,Untested,category,name,url,description,author,submissionDate,repo,featured,language,authorUrl
,Roblox,3 Stars,llmIntegrations,🆕 FoodAnaly,https://foodanaly.vercel.app/,"An AI application for food analysis that uses advanced artificial intelligence technology to help users understand food ingredients, nutritional value, and health impacts.",liukang0120@163.com,4/23/2025,,TRUE,,
,Web,3 Stars,llmIntegrations,Pollinations Chat,https://websim.ai/@AdrianoDev1/pollinations-ai-assistant/4,"Pollinations' integrated AI for text and images, totally free and unlimited.",@adrianoprogramer,,,TRUE,,
lots of stars,Tool,3 Stars,llmIntegrations,LobeChat,https://lobehub.com/plugins/pollinations-drawing,"An open-source, modern-design ChatGPT/LLMs UI/Framework with speech-synthesis, multi-modal, and extensible plugin system.",,,https://github.com/lobehub/lobe-chat,TRUE,,
sdk lib ?,Web,3 Stars,llmIntegrations,DynaSpark AI,https://dynaspark.onrender.com,A versatile AI assistant with advanced image and text generation capabilities.,Th3-C0der,,https://github.com/Th3-C0der,TRUE,,
,Discord,3 Stars,llmIntegrations,Zelos AI image generator,https://websim.ai/@ISWEARIAMNOTADDICTEDTOPILLOW/ai-image-prompt-generator,"It uses Pollinations for both prompt enhancing and image generation, it was a easy to make project due to pollinations services being easy to use.",https://www.roblox.com/users/4361935306/profile,2/17/2025,,TRUE,,
,"iOS, Android",3 Stars,llmIntegrations,IMyself AI 🇨🇳,https://openai.lmyself.top/,"我们提供高质量的AI生成服务，包括图像生成、文本生成、音频生成和语音转文本服务， 让您轻松创建各种创意内容。 (We provide high-quality AI generation services, including image generation, text generation, audio generation, and speech to text services, allowing you to easily create various creative content.)",Shadownc,3/27/2025,,TRUE,zh-CN,
,Discord,3 Stars,llmIntegrations,🆕 DreamBig - Generative AI Playground,https://dreambiglabs.vercel.app/,"Interactive AI playground with chat, image generation, and voice responses for creative exploration.",@opzzxsprinta._999,4/15/2025,,TRUE,,
,Web,2 Stars,llmIntegrations,MiReXa AI,https://mirexa.vercel.app,"A state-of-the-art chatbot integrating multiple LLMs with advanced features including audio generation, image generation, mathematical proficiency, and real-time web search.",@withthatway,2/7/2025,,,,
,Web,1 Star,llmIntegrations,🆕 🤖 DesmondBot,https://cities-tomato-strong-peoples.trycloudflare.com/,"A snarky bot based on Llama that is 100% free, powered by the Pollinations text API and OpenWebUI. Other models are available as well.",@mcgdj,4/18/2025,,,,
,Android,Untested,llmIntegrations,🆕 Aura Chat bot,,A chat bot integrating Pollinations API for text and image generation.,@Py-Phoenix-PJS,4/26/2025,,,,
,,Untested,llmIntegrations,FlowGPT,https://flowgpt.com/p/instant-image-generation-with-chatgpt-and-pollinationsai,Generate images on-demand with ChatGPT!,,,,,,
,,Untested,llmIntegrations,gpt4free,https://github.com/xtekky/gpt4free,The official gpt4free repository - various collection of powerful language models.,xtekky,,,,,
,,Untested,llmIntegrations,Unity AI Lab,https://blog.unityailab.com/unity.html,"A specialized uncensored LLM model built on Mistral Large, focused on unrestricted conversations.",,,,,,
,,Untested,llmIntegrations,PrivatePollenAI,https://mmojocoder.github.io/PrivatePollenAI/chat.html,"A privacy-focused chat assistant app that securely stores data locally, integrates with PollinationAI for text and image generation, features a minimalistic UI, and allows users to choose models and write their own system instructions.",https://github.com/MMojoCoder,2/23/2025,https://github.com/MMojoCoder/PrivatePollenAI,,,
,Android,Untested,llmIntegrations,AI Unlimited Customizable Feature Module 🇨🇳,https://getquicker.net/Sharedaction?code=9ac738ed-a4b2-4ded-933c-08dd5f710a8b&fromMyShare=true,"This project provides a free API interface supporting various text and image generation models, including OpenAI's GPT-4, Gemini 2.0, etc. Users can access these models without an API key to perform text generation, image generation, translation, text polishing, and more.",https://linux.do/u/s_s/summary,3/10/2025,,,zh-CN,
,,,llmIntegrations,🆕 OkeyAI,https://chat.okeymeta.com.ng,"An LLM created by Africans to understand and have cultural awareness of African contexts and languages, OkeyAI outperforms many LLM models based on size and intelligence, OkeyMeta uses pollination image generating API to train it's LLM (OkeyAI) on images in real time.",@okeymeta,4/19/2025,https://github.com/okeymeta,,,
,Ableton Live,3 Stars,creativeApps,🎵 PolliSonic Generator,https://interzone.art.br/pollisonic_generator/,An AI-driven tool that transforms text prompts using MidiJourney into MIDI-based melodies through browser oscillators.,@brain.diver,,https://github.com/rafabez/pollisonic_generator,TRUE,,
,Web,3 Stars,creativeApps,Rangrez AI,https://rangrezai.com,"A web platform for inspiring, creating, and customizing designs.",@saadaryf,,,TRUE,,
,Web,3 Stars,creativeApps,UR Imagine & Chat AI,https://perchance.org/ur-imagine-ai,A free and limitless image generator with companion AI chat/roleplay system.,withthatway,,,TRUE,,
lots of stars,Tool,3 Stars,creativeApps,AI-Bloom,https://ai-bloom.vercel.app/,A minimal creative showcase of AI-powered content generation.,@diepdo1810,,,TRUE,,
,Web,3 Stars,creativeApps,AvatarStudio,https://astudio-dcae4.web.app,A system for creating custom characters that uses the Pollinations API for totally free and unlimited image generation.,@nic-wq,3/10/2025,,TRUE,,
,Web,3 Stars,creativeApps,RoastMaster AI,https://roastmaster-ai.vercel.app/,"An AI-powered roast generator that allows users to upload selfies for savage AI-generated roasts, enter text for brutal critiques, or engage in roast battles. Images are processed securely on the device, protecting user privacy.",@sugamdeol,3/14/2025,,TRUE,,
name?,Discord,3 Stars,creativeApps,roastmyselfie.app,https://roastmyselfie.app,AI Personality Analyzer - Get roasted and psychoanalyzed.. just from one selfie! Dare to try?,@andres_11,3/14/2025,,TRUE,,
,Web,3 Stars,creativeApps,Case Me 🇧🇷,,O projeto consiste em uma vending machine que criará capinhas para celular personalizadas com fotos ou outras imagens e cores de escolha do cliente final. (A vending machine that creates customized phone cases with photos or other images and colors chosen by the end customer.),anaboxmania@gmail.com,3/19/2025,,TRUE,pt-BR,
,Web,3 Stars,creativeApps,Pollinations.ai Image Generation (for Frame),https://github.com/CitizenOneX/frame_pollinations,"A Flutter application that listens for image generation prompts, requests images from Pollinations.AI, and displays them on the Frame wearable device. Users can use voice commands to generate images and save/share them using the device's sharing mechanism.",CitizenOneX,4/13/2025,https://github.com/CitizenOneX/frame_pollinations,TRUE,,
,Web,3 Stars,creativeApps,🆕 🌱 Strain Navigator,https://www.strainnavigator.com/,"A collection of tools to help Growers, Breeders & Seed Bankers. Free & Open Source powered by Pollinations.ai.",@Tolerable,4/15/2025,https://github.com/Tolerable/strainnavigator,TRUE,,
,Web,3 Stars,creativeApps,🆕 Generator Text AI 🇮🇩,https://app.ariftirtana.my.id/,"Generator Teks AI canggih dengan berbagai model AI seperti OpenAI, Llama, Mistral, dan DeepSeek. Hasilkan jawaban instan, dukung mode gelap/fokus, riwayat percakapan, dan contoh pertanyaan acak. Alat sempurna untuk kreativitas dan produktivitas. (Advanced AI Text Generator with various AI models like OpenAI, Llama, Mistral, and DeepSeek. Generate instant answers, support dark/focus mode, conversation history, and random question examples. Perfect tool for creativity and productivity.)",@ayick13,4/16/2025,https://github.com/ayick13/app,TRUE,id-ID,
,Web,2 Stars,creativeApps,StoryWeaver,https://devpost.com/software/storyweaver-013xdw,Crafts personalized picture books for children.,Multiple Authors,,,,,
,Web,2 Stars,creativeApps,POLLIPAPER,https://github.com/Tolerable/POLLIPAPER,A dynamic wallpaper app that uses Pollinations AI.,@intolerant0ne,,,,,
,Web,2 Stars,creativeApps,AI Image Generator,https://fvai.infinityfreeapp.com/my-apps/pollicb09.html,"A web-based AI image generator powered by Pollinations.ai, featuring multi-model support, customizable parameters, and real-time preview.",@hrisjeui,2/15/2025,https://github.com/hrisjeui/Multi-text-image-model-pollinations,,,
,Web,2 Stars,creativeApps,PromptPix (Android),https://expo.dev/accounts/aminmusah/projects/image-generator/builds/ed32c5d0-83c0-416b-889f-e36b997dd706,"An AI-powered image generation platform for Android designed to create stunning visuals from text prompts. Features dynamic image generation as users scroll, save to gallery, favorites, and a user-friendly interface.",https://discord.com/channels/@taylorsnupe,3/12/2025,https://github.com/AminMusah/ai-image-generator,,,
,Roblox,2 Stars,creativeApps,CalcuBite AI,https://calcubite.vercel.app/,"CalcuBite AI is a smart tool that analyzes food from images to provide calorie and nutrient details. Just take a photo, and it quickly gives you an estimate of your meal's nutritional value. It uses AI for accurate analysis, and if you run out of free scans, you can watch an ad to get more!",@sugamdeol,3/15/2025,,,,
,Web,2 Stars,creativeApps,PixPax,https://pixpal.chat,"A user-friendly chatbot that lets you analyze images, remix existing images or create new images, all through simple chat.",@andreas_11,3/17/2025,,,,
,Web,2 Stars,creativeApps,🆕 Generator AI Image 🇮🇩,https://kenthir.my.id/advanced-generator/,"Advanced AI Image Generator adalah platform inovatif yang memungkinkan Anda membuat gambar digital menakjubkan dengan kecerdasan buatan by pollinations.ai. Dengan dukungan berbagai model AI canggih seperti DALL·E 3, Stable Diffusion, dan Flux-Default. (An innovative platform that allows you to create amazing digital images with artificial intelligence powered by pollinations.ai. Supports various advanced AI models like DALL-E 3, Stable Diffusion, and Flux-Default.)",@kenthirai,4/15/2025,,,id-ID,
,Web,1 Star,creativeApps,Deep Saga,https://play.google.com/store/apps/details?id=com.cestrian.deepsaga.android&pcampaignid=pollinations,A text based RPG available on Android with AI-generated scene images.,@jr_7_77,,,,,
need an api key to use the text api,Web,1 Star,creativeApps,[AI] Character RP (Roblox),https://www.roblox.com/games/108463136689847/AI-Character-RP,A popular Roblox game for AI character roleplay.,[user113](https://www.roblox.com/users/5810708209),,,TRUE,,
